,var,Axis1,Axis2,r2,p,varname,type,lake
74,STAVE,0.275172888,0.961394759,0.635218139,0.001,STAVE,diatom,wtwin
75,TABFL,0.593084445,-0.805140261,0.713191509,0.001,TABFL,diatom,wtwin
76,PSEEL,-0.956769727,-0.290846506,0.623851826,0.001,PSEEL,diatom,wtwin
77,STACO,-0.951485187,0.307694554,0.629075286,0.001,STACO,diatom,wtwin
78,LINCO,0.770609474,0.637307648,0.581150594,0.001,LINCO,diatom,wtwin
79,PSERO,0.460705249,0.887553195,0.655952209,0.001,PSERO,diatom,wtwin
80,SEDB,-0.846150108,-0.532944645,0.959110138,0.001,SEDB,pigment,wtwin
81,MYX,0.739010551,-0.673693851,0.580779797,0.001,MYX,pigment,wtwin
82,DIA,0.593295613,-0.804984668,0.6956257,0.001,DIA,pigment,wtwin
83,PHAB,-0.529800853,0.848122076,0.742494676,0.001,PHAB,pigment,wtwin
84,BCAR,0.458588913,-0.888648529,0.640079802,0.001,BCAR,pigment,wtwin
