"","name","value"
"1","ast_formosa",29
"2","aul_ambigua",54.25
"3","aul_granulata",14
"4","aul_subarctica",25.75
"5","fra_crotonensis",14
"6","lin_comta",8.75
"7","nav_cryptocephala",23.75
"8","nit_perminuta",13.5
"9","pse_elliptica",35.5
"10","sel_nigri",9.25
"11","sel_saugerresii",8.25
"12","sta_construens",25.75
"13","sta_pinnata",14.75
"14","sta_venter",59.5
"15","tab_fenestrata",8.5
"16","tab_flocculosa",25.75
