"","X1","X2","lake","year"
"1",-0.142761670807747,-0.494814616965147,"dunnigan",2018.9061796386
"2",-0.23572025555645,-0.423785729180418,"dunnigan",2017.48875747663
"3",-0.133366116417807,-0.0484570773096507,"dunnigan",2012.58593988094
"4",-0.139325469198805,0.202273272934536,"dunnigan",2009.10458224935
"5",-0.103611798958396,-0.163300687366125,"dunnigan",2004.91127645558
"6",-0.00104757109171597,-0.0808475884083437,"dunnigan",1999.98479249877
"7",0.556274232856377,0.385633777089581,"dunnigan",1994.30450361292
"8",0.0278062578829101,-0.190308298911201,"dunnigan",1987.87961835603
"9",0.30618944515896,-0.0561978281583709,"dunnigan",1980.73365971321
"10",0.279808821505402,-0.100641769620911,"dunnigan",1972.89015066958
"11",0.259202494575993,-0.0630148436180951,"dunnigan",1963.89882404707
"12",0.172393755627428,0.124160965801088,"dunnigan",1954.25085342768
"13",0.143221067063299,0.380195439153419,"dunnigan",1933.0477418946
"14",-0.0436440358478551,-0.060883238625866,"dunnigan",1911.02947937592
"15",-1.02688010246234,0.388604798516095,"dunnigan",1890.83672847281
"16",0.0263381014231727,0.135832764486745,"dunnigan",1871.03593043578
"17",0.0551228442475728,0.0655506601826647,"dunnigan",1851.38879258603
"18",0.404542701857769,-0.552336085286518,"finger",2019.27979699042
"19",0.0805455177043661,-0.507210639918023,"finger",2016.75767741984
"20",0.0159410948356276,-0.659397049236133,"finger",2013.3719533628
"21",-0.0622452300869558,-0.662912920267632,"finger",2009.1013846114
"22",-0.0829339656115011,0.0621441263149409,"finger",2003.96060972579
"23",-0.244488080552032,-0.202127043956637,"finger",1997.98931175807
"24",-0.366618257158411,-0.206546495047325,"finger",1990.95384950059
"25",-0.280730974919813,-0.176772541737513,"finger",1982.83982130321
"26",-0.260040182903833,-0.275553779690489,"finger",1974.0157695542
"27",-0.336467913158044,-0.230821607131795,"finger",1964.85023664187
"28",1.13414092540783,0.395810709928231,"finger",1954.99299152467
"29",1.17814740356243,-0.0722919673045832,"finger",1944.89455036725
"30",-0.0475973646616686,0.0180822811114971,"finger",1935.09150345991
"31",-0.257206677127355,0.218821753116309,"finger",1925.33483570131
"32",-0.288513002930043,0.308071141617756,"finger",1915.96266664365
"33",-0.344429240638218,0.494705719009368,"finger",1906.49877057153
"34",-0.203306463803551,0.541445170885868,"finger",1896.67008781538
"35",0.00510527246824705,0.311696595849936,"finger",1876.48563487879
"36",-0.0332579819536138,0.510018950766186,"finger",1866.00111491675
"37",-0.0105875803312277,0.685173680976555,"finger",1855.27850884305
"38",-0.34611395430615,-0.507101434984567,"burnt",2018.2741306454
"39",-0.225898485158697,-0.232731420494282,"burnt",2009.98885613295
"40",-0.448857566668835,-0.363936375385315,"burnt",2005.56143171556
"41",-0.423733868135441,-0.110877442112112,"burnt",2000.94401975649
"42",-0.724087292993432,0.160740086056727,"burnt",1996.12934758546
"43",-0.186751732324453,0.0838502080628109,"burnt",1991.11014253217
"44",-0.388667867011298,-0.11504968575669,"burnt",1985.8976767367
"45",-0.322167315429029,0.105541869465294,"burnt",1980.4994260537
"46",-0.315825330016108,0.254618009999416,"burnt",1974.9024233848
"47",0.547056672697819,0.555492191580861,"burnt",1969.09370163163
"48",0.116062600095067,0.794401372825272,"burnt",1956.47274889439
"49",-0.0873568023009794,0.282251739113085,"burnt",1943.21380555683
"50",0.242340244974836,-0.104417115457064,"burnt",1936.3785450589
"51",0.587989813525489,-0.0649211690884898,"burnt",1915.4905416618
"52",0.529414398628897,-0.0117983556376821,"burnt",1903.63441744737
"53",0.815227196651886,-0.434949901220205,"burnt",1879.26638262815
