"","var","Dim1","Dim2","r2","p","varname","type","lake"
"61","ASTFO",-0.911195277895278,-0.411974714686894,0.780670310826394,0.001,"ASTFO","diatom","flame"
"62","TABFL",-0.984448316688947,-0.175674448251015,0.723723241585681,0.001,"TABFL","diatom","flame"
"63","PSEEL",0.545312632902906,0.838232743572154,0.60523310205353,0.001,"PSEEL","diatom","flame"
"64","SELAU",-0.742892375993202,0.669410873597953,0.515881707100102,0.001,"SELAU","diatom","flame"
"65","AULGR",0.599811199443293,-0.800141565613484,0.693640584275701,0.001,"AULGR","diatom","flame"
"66","AULSU",0.966077118465409,0.2582537534627,0.912789805568421,0.001,"AULSU","diatom","flame"
"67","DISPS",0.448910045644433,-0.893576952992586,0.618656702019671,0.001,"DISPS","diatom","flame"
"68","AULTE",0.96899370094805,0.247085425557643,0.663434803923577,0.001,"AULTE","diatom","flame"
"69","PSEBRI",0.996915910679764,-0.0784771752392839,0.766017982414318,0.001,"PSEBRI","diatom","flame"
"70","LUT",-0.667550693755716,0.74456434998344,0.57160103697923,0.001,"LUT","pigment","flame"
"71","PHAB",-0.917397833912942,0.397971373759272,0.677880634979469,0.001,"PHAB","pigment","flame"
"72","BCAR",-0.085650430217722,-0.996325250008008,0.688547152938948,0.001,"BCAR","pigment","flame"
"73","ASTFO",-0.832687594078328,-0.55374305473572,0.95303069019218,0.001,"ASTFO","diatom","wtwin"
"74","STAVE",0.27517288789222,0.961394758550854,0.635218138683437,0.001,"STAVE","diatom","wtwin"
"75","TABFL",0.593084445374892,-0.805140261478928,0.713191509389855,0.001,"TABFL","diatom","wtwin"
"76","PSEEL",-0.956769726693069,-0.290846506053743,0.623851826297373,0.001,"PSEEL","diatom","wtwin"
"77","STACO",-0.951485187050328,0.30769455442663,0.629075286017575,0.001,"STACO","diatom","wtwin"
"78","LINCO",0.770609474419677,0.637307647792358,0.5811505936145,0.001,"LINCO","diatom","wtwin"
"79","PSERO",0.460705249170605,0.887553194679987,0.655952209357181,0.001,"PSERO","diatom","wtwin"
"80","SEDB",-0.846150108114124,-0.532944644910198,0.959110137536898,0.001,"SEDB","pigment","wtwin"
"81","MYX",0.739010551116615,-0.673693851343707,0.580779797067628,0.001,"MYX","pigment","wtwin"
"82","DIA",0.593295613211109,-0.804984667769799,0.695625700469994,0.001,"DIA","pigment","wtwin"
"83","PHAB",-0.529800853211824,0.848122076081046,0.742494675969208,0.001,"PHAB","pigment","wtwin"
"84","BCAR",0.458588912903004,-0.888648529488707,0.640079802090405,0.001,"BCAR","pigment","wtwin"
