"","lake","sample_depth","chlide_a","chl_c1","chl_c2","perid","fuco","sed_a","sed_b","sed_c","oscil","aphan","viola","diadino","sudan","myxo","allo","diato","lutein","zea","cantha","chl_b","okenone","chl_a","chl_ap","echine","isoren","phaeo_b","pheo_a","a_car","b_car","car_x","car_y","car_z","Lake"
"1","BURNT","0.0-2.0",0,0,0,0,4.6256008511247,1.24349002839629,3.73860440809593,3.05453185695176,0,0,0,0,2200.621725,3.72329000437825,17.7010354510785,12.9293128594317,20.9680056728724,0,8.11330103824346,10.3557245458552,0,16.5147475455449,6.55361319873981,4.52884183419895,0,31.8407523816019,34.5359896960441,0,7.31190433132552,0,0,0,"Burnt"
"2","BURNT","3.0-4.0",0,0,0,0,2.59203017760568,0.762685028307098,2.25192286304971,1.73867442111244,0,0,0,0,2264.617746,2.5195410867622,10.7829755415887,8.62280053193734,12.0031272048876,0,5.99596610399001,6.13721801503155,0,7.51579497587788,4.13415036824212,2.14427926424297,0,19.7477487096432,17.1634895584247,0,1.896747874104,0,0,0,"Burnt"
"3","BURNT","4.0-5.0",0,0,0,0,2.46178512082588,0.727108135165741,2.08401305897231,1.70343047887825,0,0,0,0,2407.578003,2.18046852899597,10.5039215228745,7.48827420975933,11.0240250342885,0,5.67087937328767,5.84105119316286,0,8.01404338789725,4.241568927082,2.44474106376781,0,21.5276189905356,20.7858625448948,0,3.17811153334607,0,0,0,"Burnt"
"4","BURNT","5.0-6.0",0,0,0,0,2.16774128000364,0.601014499417234,2.06621395564138,1.32210705355398,0,0,0,0,2351.974662,2.34960155680643,10.1492062417536,7.60558605281399,11.39098947909,0,5.85219512347793,5.86874144306095,0,8.25237596388056,5.02789518809256,2.76216301135668,0,28.4628933225513,27.0998250029285,0,4.89681510908613,0,0,0,"Burnt"
"5","BURNT","6.0-7.0",0,0,0,0,2.59047767430707,0.71344953760136,1.5310022179726,0.592772613112494,0,0,0,0,1737.346293,3.36406789920841,9.66344535669765,6.75151907184614,11.473846526055,0,2.60886728443159,4.5935743858747,0,7.47804399100896,5.23564785379751,2.70741818493364,0,33.7492042786773,34.1169621454761,0,5.22479891275627,0,0,0,"Burnt"
"6","BURNT","7.0-8.0",0,0,0,0,2.83302632370481,0.887969180678331,2.14694359874492,1.90429755983537,0,0,0,0,1933.022898,3.24384261009603,12.3063863985928,10.3422864809227,14.7680558000862,0,7.31828666605941,6.8442873980942,0,7.6637690858911,5.74698367879747,1.84593919193765,0,28.679193850917,20.8510688692588,0,1.59886716600961,0,0,0,"Burnt"
"7","BURNT","8.0-9.0",0,0,0,0,1.87262937063992,0.506544109518667,1.92312822994791,1.49749851016215,0,0,0,0,2281.304007,2.70167044055001,8.76090980518152,7.72672569070146,10.5604270661333,0,5.38879472801743,5.62728860032844,0,5.56487679660847,4.54978605250596,2.19619445617655,0,25.274705717003,22.7787241949916,0,2.68761835546169,0,0,0,"Burnt"
"8","BURNT","9.0-10.0",0,0,0,0,1.47082617153398,0.537778861242003,1.93348744535829,1.14046808349645,0,0,0,0,2440.062378,2.16318571270249,7.44122697771622,6.45257119245608,9.01763953827363,0,5.15223725585923,6.36324973905242,0,4.87122183929743,4.30161067271495,2.06763768889197,0,22.5210217535107,18.5427092914076,0,3.17976960757014,0,0,0,"Burnt"
"9","BURNT","11.0-12.0",0,0,0,0,3.40407485779625,1.52882359233957,3.35008640967853,2.3946837427471,0,0,0,0,4533.667821,1.59117789224329,6.0471626277973,5.8117904296899,7.36737458427579,0,4.25829728730475,4.53208100075752,0,3.19584411682537,2.76485875302387,1.29670321432668,0,12.0512574948856,7.37925088656755,0,0.918385935675527,0,0,0,"Burnt"
"10","BURNT","13.0-14.0",0,0,0,0,1.05172373776326,0.488246419080319,1.57534902117818,1.1744319821445,0,0,0,0,2237.842314,2.37192449868704,7.09193131749654,6.46180628487432,9.11040056783367,0,4.63976645152439,5.82362120821863,0,3.96538196474525,2.7325983974742,0.647340328022643,0,25.0816320129747,18.3483426751108,0,2.38633684204336,0,0,0,"Burnt"
"11","BURNT","15.0-16.0",0,0,0,0,0.991437843600338,0.437170678344367,1.85076156793029,1.09736973303712,0,0,0,0,2680.38369,2.016986479851,7.11919622112557,7.54992648361129,9.72104001532073,0,5.0870408172276,5.65848448490785,0,4.16350787942054,4.03450247206355,1.8770497897827,0,21.1074537673954,19.2794032383807,0,2.97504297868306,0,0,0,"Burnt"
"12","BURNT","19.0-20.0",0,0,0,0,1.06716779849183,0,1.79445035026035,1.04906493427069,0,0,0,0,2782.56879,1.44430399841498,6.25757175811087,7.43774696071262,9.33270101375665,0,3.79206201426745,4.69969132963285,0,3.26143081381545,2.45353887287113,1.22548565245295,0,19.2770004872143,10.0000946809362,0,0.955242413763808,0,0,0,"Burnt"
"13","BURNT","21.0-22.0",0,0,0,0,1.1559360823751,0.449862131028417,1.33369099447097,0.16977403049218,0,0,0,0,2896.763157,1.50761035687696,7.72151780088899,8.21257200297108,9.62655089152822,0,4.09385574612651,5.16841459600259,0,4.03964319167073,2.73434595772393,1.41785831952551,0,15.2887126204847,14.1300800819102,0,2.32103563919163,0,0,0,"Burnt"
"14","BURNT","25.0-26.0",0,0,0,0,1.22449737518951,0,1.57893030550368,0.827053728391981,0,0,0,0,3303.361674,1.35064488401287,7.46345355271802,7.70275856967437,10.3229496617675,0,3.52181255139895,4.5989561811869,0,3.30333319506462,1.94135041976144,1.12040804258491,0,8.54515761003068,10.1166285744842,0,1.50644692265776,0,0,0,"Burnt"
"15","BURNT","27.0-28.0",0,0,0,0,1.03024532376501,0.395784903745241,1.07254124658697,0.441168587431103,0,0,0,0,3625.662528,1.16009802567775,6.77005148940441,6.76114785121314,8.91474375821789,0,3.32719121890344,4.01246688407474,0,2.89732744478674,1.78488630266678,0.988167636482971,0,11.7935274759173,10.3887850660114,0,1.79487931103924,0,0,0,"Burnt"
"16","East Twin","8-9",0,0,0,0,4.83976339566375,0,3.95160040284884,2.21260710827379,0,0,0,0,1307.482254,9.43186280466345,11.9687677775662,8.36299285925908,22.2456349177883,0,1.84558005584122,6.38763120667416,0,44.5490205577901,8.60354867479704,3.84932523224345,0,15.023655547165,41.2232293750471,0,25.2885041635842,0,0,0,"ETwin"
"17","East Twin","13-14",0,0,0,0,3.41168333249025,0,0,0,0,0,0,0,1224.647424,9.14620765792808,9.25792739116814,7.84583917136237,20.0770531655178,0,1.89164338092827,5.89890519954431,0,32.7077065687245,6.73920270612091,3.12927400936075,0,14.0110326025007,27.823978033289,0,14.7900400552639,0,0,0,"ETwin"
"18","East Twin","17-18",0,0,0,0,2.15363995373008,0,3.22728627762917,2.30898825687275,0,0,0,0,1249.915212,7.25447178634109,12.0309083775075,8.56145911095543,21.7806239069566,0,2.7995201448295,6.12593845038815,0,20.2964004407493,4.17902770264891,2.76284913329059,0,20.6825421948578,22.8779634072323,0,10.548675766078,0,0,0,"ETwin"
"19","East Twin","21-22",0,0,0,0,1.62735920113177,0,0.454448861105579,0.696111389704766,0,0,0,0,1332.324756,11.8264778158486,6.19334388795144,7.96533152168722,18.4665234642569,0,3.41754760099608,3.15573282682432,0,19.2964394899182,4.82058904892822,3.34424565673801,0,15.8808355488821,32.0891723703055,0,18.0936018506224,0,0,0,"ETwin"
"20","East Twin","23-24",0,0,0,0,1.14029888387849,0,37133.8932712338,0.887887909101365,0,0,0,0,1368.849024,11.7264604490149,9.01892455786739,11.3077963261013,24.6476783035399,0,3.0809658236944,6.89876773224364,0,23.6062541340942,5.36172128708593,3.84090950399374,0,18.6894248236316,41.1319254602771,0,23.4166876821627,0,0,0,"ETwin"
"21","East Twin","25-26",0,0,0,0,1.0561146097651,0,0,0,0,0,0,0,1290.617136,12.2207377031733,7.61374241812486,10.4591906586776,22.7582076116495,0,2.6540463604238,2.25745556422677,0,15.0142113314555,3.61051637268017,3.87615079845786,0,33.6607394993162,44.4233802385011,0,19.2810607849411,0,0,0,"ETwin"
"22","East Twin","27-28",0,0,0,0,0.540233640126178,0,0.664087980027111,0,0,0,0,0,1324.493856,12.1822006136361,10.2899709258913,10.45822634954,26.3247204278489,0,2.94875612959894,2.08171279467385,0,11.1327943786496,5.11763924590248,4.56456068165582,0,46.2573483646289,66.3734097203863,0,26.4949572391526,0,0,0,"ETwin"
"23","East Twin","29-30",0,0,0,0,1.14726948694717,0,0.899036236583927,0.550984329514424,0,0,0,0,1250.78049,5.83895090064343,7.95073763949125,8.01406713546426,21.0681840621681,0,2.3080366602922,4.67644760339561,0,9.05339900348577,3.51439775590079,2.83346231689109,0,19.2338805807345,25.8772570456821,0,10.1429612264266,0,0,0,"ETwin"
"24","East Twin","31-32",0,0,0,0,0.578654884253843,0,0,0,0,0,0,0,1147.674681,9.84056881121078,8.57215008744445,8.00968588412014,20.3403545742979,0,2.26612224284535,0,0,11.6269491722317,3.30675361657496,4.52056136344291,0,13.1556830706354,17.934067796006,0,6.20278282253169,0,0,0,"ETwin"
