"","lake","sample_depth","extraction_weight_mg","percent_organic","chlide_a","chl_c1","chl_c2","perid","fuco","sed_a","sed_b","sed_c","oscil","aphan","viola","diadino","sudan","myxo","allo","diato","lutein","zea","cantha","chl_b","okenone","chl_a","chl_ap","echine","isoren","phaeo_b","pheo_a","a_car","b_car","car_x","car_y","car_z","depth"
"1","Burnt","0.0-2.0",18.44,44.83024691358,0,0,0,0,4.6256008511247,1.24349002839629,3.73860440809593,3.05453185695176,0,0,0,0,2200.621725,3.72329000437825,17.7010354510785,12.9293128594317,20.9680056728724,0,8.11330103824346,10.3557245458552,0,16.5147475455449,6.55361319873981,4.52884183419895,0,31.8407523816019,34.5359896960441,0,7.31190433132552,0,0,0,2
"2","Burnt","3.0-4.0",27.83,43.8959306204136,0,0,0,0,2.59203017760568,0.762685028307098,2.25192286304971,1.73867442111244,0,0,0,0,2264.617746,2.5195410867622,10.7829755415887,8.62280053193734,12.0031272048876,0,5.99596610399001,6.13721801503155,0,7.51579497587788,4.13415036824212,2.14427926424297,0,19.7477487096432,17.1634895584247,0,1.896747874104,0,0,0,4
"3","Burnt","4.0-5.0",31.88,44.2782834850458,0,0,0,0,2.46178512082588,0.727108135165741,2.08401305897231,1.70343047887825,0,0,0,0,2407.578003,2.18046852899597,10.5039215228745,7.48827420975933,11.0240250342885,0,5.67087937328767,5.84105119316286,0,8.01404338789725,4.241568927082,2.44474106376781,0,21.5276189905356,20.7858625448948,0,3.17811153334607,0,0,0,5
"4","Burnt","5.0-6.0",29.67,44.1516709511567,0,0,0,0,2.16774128000364,0.601014499417234,2.06621395564138,1.32210705355398,0,0,0,0,2351.974662,2.34960155680643,10.1492062417536,7.60558605281399,11.39098947909,0,5.85219512347793,5.86874144306095,0,8.25237596388056,5.02789518809256,2.76216301135668,0,28.4628933225513,27.0998250029285,0,4.89681510908613,0,0,0,6
"5","Burnt","6.0-7.0",20.73,44.1361916771755,0,0,0,0,2.59047767430707,0.71344953760136,1.5310022179726,0.592772613112494,0,0,0,0,1737.346293,3.36406789920841,9.66344535669765,6.75151907184614,11.473846526055,0,2.60886728443159,4.5935743858747,0,7.47804399100896,5.23564785379751,2.70741818493364,0,33.7492042786773,34.1169621454761,0,5.22479891275627,0,0,0,7
"6","Burnt","7.0-8.0",21.55,44.030322173089,0,0,0,0,2.83302632370481,0.887969180678331,2.14694359874492,1.90429755983537,0,0,0,0,1933.022898,3.24384261009603,12.3063863985928,10.3422864809227,14.7680558000862,0,7.31828666605941,6.8442873980942,0,7.6637690858911,5.74698367879747,1.84593919193765,0,28.679193850917,20.8510688692588,0,1.59886716600961,0,0,0,8
"7","Burnt","8.0-9.0",26.14,43.5833849969005,0,0,0,0,1.87262937063992,0.506544109518667,1.92312822994791,1.49749851016215,0,0,0,0,2281.304007,2.70167044055001,8.76090980518152,7.72672569070146,10.5604270661333,0,5.38879472801743,5.62728860032844,0,5.56487679660847,4.54978605250596,2.19619445617655,0,25.274705717003,22.7787241949916,0,2.68761835546169,0,0,0,9
"8","Burnt","9.0-10.0",33.14,42.9351121892056,0,0,0,0,1.47082617153398,0.537778861242003,1.93348744535829,1.14046808349645,0,0,0,0,2440.062378,2.16318571270249,7.44122697771622,6.45257119245608,9.01763953827363,0,5.15223725585923,6.36324973905242,0,4.87122183929743,4.30161067271495,2.06763768889197,0,22.5210217535107,18.5427092914076,0,3.17976960757014,0,0,0,10
"9","Burnt","11.0-12.0",60.95,42.0963172804533,0,0,0,0,3.40407485779625,1.52882359233957,3.35008640967853,2.3946837427471,0,0,0,0,4533.667821,1.59117789224329,6.0471626277973,5.8117904296899,7.36737458427579,0,4.25829728730475,4.53208100075752,0,3.19584411682537,2.76485875302387,1.29670321432668,0,12.0512574948856,7.37925088656755,0,0.918385935675527,0,0,0,12
"10","Burnt","13.0-14.0",31.31,41.4452709883104,0,0,0,0,1.05172373776326,0.488246419080319,1.57534902117818,1.1744319821445,0,0,0,0,2237.842314,2.37192449868704,7.09193131749654,6.46180628487432,9.11040056783367,0,4.63976645152439,5.82362120821863,0,3.96538196474525,2.7325983974742,0.647340328022643,0,25.0816320129747,18.3483426751108,0,2.38633684204336,0,0,0,14
"11","Burnt","15.0-16.0",36.25,42.0966865833787,0,0,0,0,0.991437843600338,0.437170678344367,1.85076156793029,1.09736973303712,0,0,0,0,2680.38369,2.016986479851,7.11919622112557,7.54992648361129,9.72104001532073,0,5.0870408172276,5.65848448490785,0,4.16350787942054,4.03450247206355,1.8770497897827,0,21.1074537673954,19.2794032383807,0,2.97504297868306,0,0,0,16
"12","Burnt","19.0-20.0",50.21,42.443391258557,0,0,0,0,1.06716779849183,0,1.79445035026035,1.04906493427069,0,0,0,0,2782.56879,1.44430399841498,6.25757175811087,7.43774696071262,9.33270101375665,0,3.79206201426745,4.69969132963285,0,3.26143081381545,2.45353887287113,1.22548565245295,0,19.2770004872143,10.0000946809362,0,0.955242413763808,0,0,0,20
"13","Burnt","21.0-22.0",48.36,42.2166246851386,0,0,0,0,1.1559360823751,0.449862131028417,1.33369099447097,0.16977403049218,0,0,0,0,2896.763157,1.50761035687696,7.72151780088899,8.21257200297108,9.62655089152822,0,4.09385574612651,5.16841459600259,0,4.03964319167073,2.73434595772393,1.41785831952551,0,15.2887126204847,14.1300800819102,0,2.32103563919163,0,0,0,22
