"","lake","year_loess","depth","ast_formosa","aul_ambigua","sta_venter","tab_flocculosa","pse_elliptica","nav_cryptocephala","nit_perminuta","pin_subanglica","pse_brevistriata","sel_auldrekie","fra_crotonensis","sta_construens","aul_granulata","aul_subarctica","lin_intermedia","tab_fenestrata","ach_minutissimum","fra_mesolepta","sel_nigri","sta_pinnata","sel_saugerresii","dis_pseudostelligera","aul_tenella","pse_brevistriata_inflata","lin_comta","pse_robusta","sed_a","sed_b","sed_c","myxo","allo","diato","lutein","cantha","echine","phaeo_b","pheo_a","b_car"
"11","burnt",1969.09370163163,12,11.75,31.75,21.25,5.75,22.5,0,0,0,0,0,0,0,0,0.5,1,0,0.25,0,0.75,0,0.25,0.25,0,0.5,0.75,0,1.52882359233957,3.35008640967853,2.3946837427471,1.59117789224329,6.0471626277973,5.8117904296899,7.36737458427579,4.25829728730475,1.29670321432668,12.0512574948856,7.37925088656755,0.918385935675527
"12","burnt",1962.95000223447,13,11.75,31.75,21.25,5.75,22.5,0,0,0,0,0,0,0,0,0.5,1,0,0.25,0,0.75,0,0.25,0.25,0,0.5,0.75,0,1.52882359233957,3.35008640967853,2.3946837427471,1.59117789224329,6.0471626277973,5.8117904296899,7.36737458427579,4.25829728730475,1.29670321432668,12.0512574948856,7.37925088656755,0.918385935675527
"13","burnt",1956.47274889439,14,11.75,31.75,21.25,5.75,22.5,0,0,0,0,0,0,0,0,0.5,1,0,0.25,0,0.75,0,0.25,0.25,0,0.5,0.75,0,0.488246419080319,1.57534902117818,1.1744319821445,2.37192449868704,7.09193131749654,6.46180628487432,9.11040056783367,4.63976645152439,0.647340328022643,25.0816320129747,18.3483426751108,2.38633684204336
"14","burnt",1949.83599790424,15,11.75,31.75,21.25,5.75,22.5,0,0,0,0,0,0,0,0,0.5,1,0,0.25,0,0.75,0,0.25,0.25,0,0.5,0.75,0,0.488246419080319,1.57534902117818,1.1744319821445,2.37192449868704,7.09193131749654,6.46180628487432,9.11040056783367,4.63976645152439,0.647340328022643,25.0816320129747,18.3483426751108,2.38633684204336
"15","burnt",1943.21380555683,16,14.25,32,24.75,6.25,14.25,0,0,0,0.25,0,0.25,0.25,0,0,0.25,0,0.5,0,0.75,0.5,0,0,0,1,0.25,0,0.437170678344367,1.85076156793029,1.09736973303712,2.016986479851,7.11919622112557,7.54992648361129,9.72104001532073,5.0870408172276,1.8770497897827,21.1074537673954,19.2794032383807,2.97504297868306
"16","burnt",1936.3785450589,17,10.5,54,8.25,5.75,14.25,0,0,0,0.25,0,0.75,0.25,0,0,0.5,0,0.25,0,0.75,1,0,0,0,0.5,0.5,0,0.437170678344367,1.85076156793029,1.09736973303712,2.016986479851,7.11919622112557,7.54992648361129,9.72104001532073,5.0870408172276,1.8770497897827,21.1074537673954,19.2794032383807,2.97504297868306
"17","burnt",1929.23306649953,18,10.5,54,8.25,5.75,14.25,0,0,0,0.25,0,0.75,0.25,0,0,0.5,0,0.25,0,0.75,1,0,0,0,0.5,0.5,0,0.437170678344367,1.85076156793029,1.09736973303712,2.016986479851,7.11919622112557,7.54992648361129,9.72104001532073,5.0870408172276,1.8770497897827,21.1074537673954,19.2794032383807,2.97504297868306
"18","burnt",1922.14714149505,19,10.5,54,8.25,5.75,14.25,0,0,0,0.25,0,0.75,0.25,0,0,0.5,0,0.25,0,0.75,1,0,0,0,0.5,0.5,0,0.437170678344367,1.85076156793029,1.09736973303712,2.016986479851,7.11919622112557,7.54992648361129,9.72104001532073,5.0870408172276,1.8770497897827,21.1074537673954,19.2794032383807,2.97504297868306
"19","burnt",1915.4905416618,20,10.5,54,8.25,5.75,14.25,0,0,0,0.25,0,0.75,0.25,0,0,0.5,0,0.25,0,0.75,1,0,0,0,0.5,0.5,0,0,1.79445035026035,1.04906493427069,1.44430399841498,6.25757175811087,7.43774696071262,9.33270101375665,3.79206201426745,1.22548565245295,19.2770004872143,10.0000946809362,0.955242413763808
"20","burnt",1909.41459878826,21,10.5,54,8.25,5.75,14.25,0,0,0,0.25,0,0.75,0.25,0,0,0.5,0,0.25,0,0.75,1,0,0,0,0.5,0.5,0,0,1.79445035026035,1.04906493427069,1.44430399841498,6.25757175811087,7.43774696071262,9.33270101375665,3.79206201426745,1.22548565245295,19.2770004872143,10.0000946809362,0.955242413763808
"21","burnt",1903.63441744737,22,9.5,42.25,5.75,8.25,23.75,0,0,0,0,0,0.25,0,0,0.5,1,0,0.25,0,0.5,0,0.5,0.25,0,0.75,0.75,0,0.449862131028417,1.33369099447097,0.16977403049218,1.50761035687696,7.72151780088899,8.21257200297108,9.62655089152822,4.09385574612651,1.41785831952551,15.2887126204847,14.1300800819102,2.32103563919163
"22","burnt",1897.86542843212,23,9.5,42.25,5.75,8.25,23.75,0,0,0,0,0,0.25,0,0,0.5,1,0,0.25,0,0.5,0,0.5,0.25,0,0.75,0.75,0,0.449862131028417,1.33369099447097,0.16977403049218,1.50761035687696,7.72151780088899,8.21257200297108,9.62655089152822,4.09385574612651,1.41785831952551,15.2887126204847,14.1300800819102,2.32103563919163
"23","burnt",1891.82306253553,24,9.5,42.25,5.75,8.25,23.75,0,0,0,0,0,0.25,0,0,0.5,1,0,0.25,0,0.5,0,0.5,0.25,0,0.75,0.75,0,0.449862131028417,1.33369099447097,0.16977403049218,1.50761035687696,7.72151780088899,8.21257200297108,9.62655089152822,4.09385574612651,1.41785831952551,15.2887126204847,14.1300800819102,2.32103563919163
"24","burnt",1885.55547464712,25,9.5,42.25,5.75,8.25,23.75,0,0,0,0,0,0.25,0,0,0.5,1,0,0.25,0,0.5,0,0.5,0.25,0,0.75,0.75,0,0.449862131028417,1.33369099447097,0.16977403049218,1.50761035687696,7.72151780088899,8.21257200297108,9.62655089152822,4.09385574612651,1.41785831952551,15.2887126204847,14.1300800819102,2.32103563919163
"25","burnt",1879.26638262815,26,9.5,54.25,9.5,5.75,13,0,0,0,0,0,0.25,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,1,0.5,0,0,1.57893030550368,0.827053728391981,1.35064488401287,7.46345355271802,7.70275856967437,10.3229496617675,3.52181255139895,1.12040804258491,8.54515761003068,10.1166285744842,1.50644692265776
"26","burnt",1872.90456172916,27,9.5,54.25,9.5,5.75,13,0,0,0,0,0,0.25,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,1,0.5,0,0,1.57893030550368,0.827053728391981,1.35064488401287,7.46345355271802,7.70275856967437,10.3229496617675,3.52181255139895,1.12040804258491,8.54515761003068,10.1166285744842,1.50644692265776
