"","lake","year_loess","dmar_loess","base"
"1","Burnt",2018.2741306454,0.0151971570652204,2
"2","Burnt",2014.22909886214,0.0141565334244649,3
"3","Burnt",2009.98885613295,0.0132386228433804,4
"4","Burnt",2005.56143171556,0.0124697220095819,5
"5","Burnt",2000.94401975649,0.0118278477235704,6
"6","Burnt",1996.12934758546,0.0112858373594757,7
"7","Burnt",1991.11014253217,0.0108165282914272,8
"8","Burnt",1985.8976767367,0.01052811480641,9
"9","Burnt",1980.4994260537,0.0104540386086103,10
"10","Burnt",1974.9024233848,0.0104550081979598,11
"11","Burnt",1969.09370163163,0.0103917320743903,12
"12","Burnt",1962.95000223447,0.0101165140061511,13
"13","Burnt",1956.47274889439,0.00970259355140897,14
"14","Burnt",1949.83599790424,0.00934208289497124,15
"15","Burnt",1943.21380555683,0.00922709422164524,16
"16","Burnt",1936.3785450589,0.00940444832823331,17
"17","Burnt",1929.23306649953,0.00973656841586135,18
"18","Burnt",1922.14714149505,0.0101389702758219,19
"19","Burnt",1915.4905416618,0.0105271696994076,20
"20","Burnt",1909.41459878826,0.0110762597714337,21
"21","Burnt",1903.63441744737,0.0118270078269925,22
"22","Burnt",1897.86542843212,0.0124934410327914,23
"23","Burnt",1891.82306253553,0.012789586555538,24
"24","Burnt",1885.55547464712,0.0127593476429871,25
"25","Burnt",1879.26638262815,0.0126174808181528,26
"26","Burnt",1872.90456172916,0.012334293160632,27
"27","Burnt",1866.41878720072,0.0118800917500214,28
"28","Burnt",1859.75783429338,0.0112251836659177,29
"29","Burnt",1852.87047825768,0.0103398759879179,30
"30","Burnt",1845.74958306586,0.00922178937496047,31
"31","Burnt",1838.43858996232,0.00789880214695325,32
"32","Burnt",1830.96214010586,0.00638660787494636,33
"100","Dunnigan",2018.9061796386,0.0111360731524611,2
"101","Dunnigan",2017.48875747663,0.0106537665101996,3
"102","Dunnigan",2015.37657935122,0.010162842088239,4
"103","Dunnigan",2012.58593988094,0.00965900455075043,5
"104","Dunnigan",2009.10458224935,0.00914427376190314,6
"105","Dunnigan",2004.91127645558,0.00862359547050032,7
"106","Dunnigan",1999.98479249877,0.00810191542534512,8
"107","Dunnigan",1994.30450361292,0.00754450710741515,9
"108","Dunnigan",1987.87961835603,0.00694739986816787,10
"109","Dunnigan",1980.73365971321,0.00636167326212619,11
"110","Dunnigan",1972.89015066958,0.005838406843813,12
"111","Dunnigan",1963.89882404707,0.00529397873680059,13
