"lake","bottom_interval_cm","name","value"
"elbow",15,"ironbound",0.0551627665893746
"elbow",15,"mobile",0.323015813454971
"elbow",17,"labile",0.258686894635676
"elbow",17,"recalcitrant",0.677340894592213
"elbow",17,"ironbound",0.0639722107040966
"elbow",17,"mobile",0.322659105339772
"elbow",18,"labile",0.274069630226134
"elbow",18,"recalcitrant",0.475267020390344
"elbow",18,"ironbound",0.250663349386864
"elbow",18,"mobile",0.524732979612998
"elbow",20,"labile",0.253065096424576
"elbow",20,"recalcitrant",0.680198236271814
"elbow",20,"ironbound",0.0667366672585177
"elbow",20,"mobile",0.319801763683094
"elbow",22,"labile",0.232723316121372
"elbow",22,"recalcitrant",0.692697630722662
"elbow",22,"ironbound",0.0745790531728564
"elbow",22,"mobile",0.307302369294229
"elbow",24,"labile",0.22344903772818
"elbow",24,"recalcitrant",0.704194623916744
"elbow",24,"ironbound",0.0723563383562608
"elbow",24,"mobile",0.295805376084441
"elbow",26,"labile",0.214503982794008
"elbow",26,"recalcitrant",0.717691631017074
"elbow",26,"ironbound",0.0678043861997691
"elbow",26,"mobile",0.282308368993777
"elbow",29,"labile",0.180167133497004
"elbow",29,"recalcitrant",0.758004064352022
"elbow",29,"ironbound",0.0618288021343979
"elbow",29,"mobile",0.241995935631402
"elbow",32,"labile",0.191961388633428
"elbow",32,"recalcitrant",0.744013702918377
"elbow",32,"ironbound",0.0640249084556656
"elbow",32,"mobile",0.255986297089093
"elbow",34,"labile",0.174966986277016
"elbow",34,"recalcitrant",0.758925015913267
"elbow",34,"ironbound",0.0661079977824183
"elbow",34,"mobile",0.241074984059434
"etwin",2,"labile",0.285080304803619
"etwin",2,"recalcitrant",0.467599859198855
"etwin",2,"ironbound",0.247319836006148
"etwin",2,"mobile",0.532400140809767
"etwin",9,"labile",0.255552174309455
"etwin",9,"recalcitrant",0.491375056946876
"etwin",9,"ironbound",0.253072768728193
"etwin",9,"mobile",0.508624943037648
"etwin",15,"labile",0.281157771252449
"etwin",15,"recalcitrant",0.478140093509354
"etwin",15,"ironbound",0.240702135255729
"etwin",15,"mobile",0.521859906508178
"etwin",18,"labile",0.275144801602419
"etwin",18,"recalcitrant",0.528921789143707
"etwin",18,"ironbound",0.19593340924568
"etwin",18,"mobile",0.471078210848099
"etwin",21,"labile",0.290174905887233
"etwin",21,"recalcitrant",0.550428859437699
"etwin",21,"ironbound",0.159396234648619
"etwin",21,"mobile",0.449571140535852
"etwin",24,"labile",0.310206816747542
"etwin",24,"recalcitrant",0.522005035375318
"etwin",24,"ironbound",0.167788147866051
"etwin",24,"mobile",0.477994964613593
"etwin",25,"labile",0.316943730166641
"etwin",25,"recalcitrant",0.491379176878249
"etwin",25,"ironbound",0.191677092970908
"etwin",25,"mobile",0.508620823137549
"etwin",28,"labile",0.311238389068669
"etwin",28,"recalcitrant",0.547200870029135
"etwin",28,"ironbound",0.141560740918198
"etwin",28,"mobile",0.452799129986867
"etwin",30,"labile",0.325872324667296
"etwin",30,"recalcitrant",0.530899351432093
"etwin",30,"ironbound",0.143228323934182
"etwin",30,"mobile",0.469100648601478
"etwin",32,"labile",0.327070390914017
"etwin",32,"recalcitrant",0.53828258981401
"etwin",32,"ironbound",0.134647019318523
"etwin",32,"mobile",0.46171741023254
"etwin",34,"labile",0.312036444197851
"etwin",34,"recalcitrant",0.557281624913796
"etwin",34,"ironbound",0.130681930879682
"etwin",34,"mobile",0.442718375077533
"etwin",37,"labile",0.306240025183179
"etwin",37,"recalcitrant",0.596945962365137
"etwin",37,"ironbound",0.0968140124802636
"etwin",37,"mobile",0.403054037663443
"etwin",42,"labile",0.293407479803912
"etwin",42,"recalcitrant",0.596942713143429
"etwin",42,"ironbound",0.109649807003895
"etwin",42,"mobile",0.403057286807807
"etwin",47,"labile",0.284989744835796
"etwin",47,"recalcitrant",0.597799927560732
"etwin",47,"ironbound",0.117210327558686
"etwin",47,"mobile",0.402200072394482
"etwin",51,"labile",0.267680738906132
"etwin",51,"recalcitrant",0.567430025558152
"etwin",51,"ironbound",0.164889235573313
"etwin",51,"mobile",0.432569974479446
"etwin",55,"labile",0.271230455332732
"etwin",55,"recalcitrant",0.609436938321402
"etwin",55,"ironbound",0.119332606297931
"etwin",55,"mobile",0.390563061630663
"finger",2,"labile",0.210087355676384
"finger",2,"recalcitrant",0.641840268728046
"finger",2,"ironbound",0.148072375561006
"finger",2,"mobile",0.358159731237389
"finger",4,"labile",0.19577907045234
