"","lake","year_loess","depth","percent_organic","percent_ca_co3","percent_inorg","ex_p","bd_p","na_oh_p","pers_p","labile_o_p","mineral_p","tp_results_mg_p_g","recalcitrant_o_p","concentration_si_o2","ast_formosa","aul_ambigua","aul_granulata","aul_subarctica","fra_crotonensis","lin_comta","nav_cryptocephala","nit_perminuta","pse_elliptica","sel_nigri","sel_saugerresii","sta_construens","sta_pinnata","sta_venter","tab_fenestrata","tab_flocculosa","chl_c1","chl_c2","fuco","sed_a","sed_b","sed_c","diadino","sudan","myxo","allo","diato","lutein","cantha","chl_b","chl_a","chl_ap","echine","phaeo_b","pheo_a","b_car","perc_TOC","perc_TN","TOC_TN_ratio"
"11","burnt",1969.09370163163,12,42.0963172804533,7.21495750708136,50.6887252124653,6.12565724402902e-05,0.0006534505435304,0.00090191315354035,0.00440840236865506,0.00350648921511471,0.00216727817911309,0.0114872155388193,0.0041968278750805,269.361463739039,11.75,31.75,0,0.5,0,0.75,0,0,22.5,0.75,0.25,0,0,21.25,0,5.75,0,0,3.40407485779625,1.52882359233957,3.35008640967853,2.3946837427471,0,4533.667821,1.59117789224329,6.0471626277973,5.8117904296899,7.36737458427579,4.25829728730475,4.53208100075752,3.19584411682537,2.76485875302387,1.29670321432668,12.0512574948856,7.37925088656755,0.918385935675527,23.61,2.36,10.0042372881356
"12","burnt",1962.95000223447,13,41.6159380188156,7.17310459324853,51.2109573879359,5.62520191641017e-05,0.000568330253586074,0.000884859734679315,0.00427567416426117,0.00339081442958185,0.00204688481004431,0.0110293616982184,0.00408222045116276,257.682270242808,11.75,31.75,0,0.5,0,0.75,0,0,22.5,0.75,0.25,0,0,21.25,0,5.75,0,0,3.40407485779625,1.52882359233957,3.35008640967853,2.3946837427471,0,4533.667821,1.59117789224329,6.0471626277973,5.8117904296899,7.36737458427579,4.25829728730475,4.53208100075752,3.19584411682537,2.76485875302387,1.29670321432668,12.0512574948856,7.37925088656755,0.918385935675527,23.61,2.36,10.0042372881356
"13","burnt",1956.47274889439,14,41.4452709883104,7.61222104144469,50.9425079702449,5.62520191641017e-05,0.000568330253586074,0.000884859734679315,0.00427567416426117,0.00339081442958185,0.00204688481004431,0.0110293616982184,0.00408222045116276,257.682270242808,11.75,31.75,0,0.5,0,0.75,0,0,22.5,0.75,0.25,0,0,21.25,0,5.75,0,0,1.05172373776326,0.488246419080319,1.57534902117818,1.1744319821445,0,2237.842314,2.37192449868704,7.09193131749654,6.46180628487432,9.11040056783367,4.63976645152439,5.82362120821863,3.96538196474525,2.7325983974742,0.647340328022643,25.0816320129747,18.3483426751108,2.38633684204336,23.61,2.36,10.0042372881356
"14","burnt",1949.83599790424,15,41.964762413241,6.79893219433986,51.2363053924191,5.62520191641017e-05,0.000568330253586074,0.000884859734679315,0.00427567416426117,0.00339081442958185,0.00204688481004431,0.0110293616982184,0.00408222045116276,257.682270242808,11.75,31.75,0,0.5,0,0.75,0,0,22.5,0.75,0.25,0,0,21.25,0,5.75,0,0,1.05172373776326,0.488246419080319,1.57534902117818,1.1744319821445,0,2237.842314,2.37192449868704,7.09193131749654,6.46180628487432,9.11040056783367,4.63976645152439,5.82362120821863,3.96538196474525,2.7325983974742,0.647340328022643,25.0816320129747,18.3483426751108,2.38633684204336,23.61,2.36,10.0042372881356
"15","burnt",1943.21380555683,16,42.0966865833787,6.67007061379663,51.2332428028246,5.47431653767092e-05,0.000743664439452677,0.000865408691532815,0.0036842276795194,0.00281881898798659,0.00209317828160973,0.0106125753151474,0.00403676174918885,240.839042434421,14.25,32,0,0,0.25,0.25,0,0,14.25,0.75,0,0.25,0.5,24.75,0,6.25,0,0,0.991437843600338,0.437170678344367,1.85076156793029,1.09736973303712,0,2680.38369,2.016986479851,7.11919622112557,7.54992648361129,9.72104001532073,5.0870408172276,5.65848448490785,4.16350787942054,4.03450247206355,1.8770497897827,21.1074537673954,19.2794032383807,2.97504297868306,23.61,2.36,10.0042372881356
"16","burnt",1936.3785450589,17,42.4774056353004,6.28644338118059,51.236150983519,5.47431653767092e-05,0.000743664439452677,0.000865408691532815,0.0036842276795194,0.00281881898798659,0.00209317828160973,0.0106125753151474,0.00403676174918885,240.839042434421,10.5,54,0,0,0.75,0.5,0,0,14.25,0.75,0,0.25,1,8.25,0,5.75,0,0,0.991437843600338,0.437170678344367,1.85076156793029,1.09736973303712,0,2680.38369,2.016986479851,7.11919622112557,7.54992648361129,9.72104001532073,5.0870408172276,5.65848448490785,4.16350787942054,4.03450247206355,1.8770497897827,21.1074537673954,19.2794032383807,2.97504297868306,23.23,2.22,10.463963963964
"17","burnt",1929.23306649953,18,42.744479495268,6.934384858045,50.321135646687,5.47431653767092e-05,0.000743664439452677,0.000865408691532815,0.0036842276795194,0.00281881898798659,0.00209317828160973,0.0106125753151474,0.00403676174918885,240.839042434421,10.5,54,0,0,0.75,0.5,0,0,14.25,0.75,0,0.25,1,8.25,0,5.75,0,0,0.991437843600338,0.437170678344367,1.85076156793029,1.09736973303712,0,2680.38369,2.016986479851,7.11919622112557,7.54992648361129,9.72104001532073,5.0870408172276,5.65848448490785,4.16350787942054,4.03450247206355,1.8770497897827,21.1074537673954,19.2794032383807,2.97504297868306,23.23,2.22,10.463963963964
"18","burnt",1922.14714149505,19,42.7751695357333,7.47323943661916,49.7515910276475,5.50355542674682e-05,0.000847106322011852,0.0010465809385611,0.00411424247525446,0.00306766153669336,0.00255229784100527,0.0120452282430816,0.00447654605054255,268.861534718134,10.5,54,0,0,0.75,0.5,0,0,14.25,0.75,0,0.25,1,8.25,0,5.75,0,0,0.991437843600338,0.437170678344367,1.85076156793029,1.09736973303712,0,2680.38369,2.016986479851,7.11919622112557,7.54992648361129,9.72104001532073,5.0870408172276,5.65848448490785,4.16350787942054,4.03450247206355,1.8770497897827,21.1074537673954,19.2794032383807,2.97504297868306,23.23,2.22,10.463963963964
"19","burnt",1915.4905416618,20,42.443391258557,7.78357030015793,49.7730384412851,5.50355542674682e-05,0.000847106322011852,0.0010465809385611,0.00411424247525446,0.00306766153669336,0.00255229784100527,0.0120452282430816,0.00447654605054255,268.861534718134,10.5,54,0,0,0.75,0.5,0,0,14.25,0.75,0,0.25,1,8.25,0,5.75,0,0,1.06716779849183,0,1.79445035026035,1.04906493427069,0,2782.56879,1.44430399841498,6.25757175811087,7.43774696071262,9.33270101375665,3.79206201426745,4.69969132963285,3.26143081381545,2.45353887287113,1.22548565245295,19.2770004872143,10.0000946809362,0.955242413763808,23.23,2.22,10.463963963964
"20","burnt",1909.41459878826,21,42.2009086320043,8.03533568904555,49.7637556789502,5.50355542674682e-05,0.000847106322011852,0.0010465809385611,0.00411424247525446,0.00306766153669336,0.00255229784100527,0.0120452282430816,0.00447654605054255,268.861534718134,10.5,54,0,0,0.75,0.5,0,0,14.25,0.75,0,0.25,1,8.25,0,5.75,0,0,1.06716779849183,0,1.79445035026035,1.04906493427069,0,2782.56879,1.44430399841498,6.25757175811087,7.43774696071262,9.33270101375665,3.79206201426745,4.69969132963285,3.26143081381545,2.45353887287113,1.22548565245295,19.2770004872143,10.0000946809362,0.955242413763808,23.23,2.22,10.463963963964
